Forecast_Origin,Target_Date,Model,Prediction_Type,Actual,Predicted,n_raw_features,n_trans_features,n_sel_features,n_model_used_features
2014-12-31,2015-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2015-01-31,2015-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2015-02-28,2015-03-31,MIDASNowcast,conditional_nowcast,0.0085772952373393,0.009070711,145,145,145,145
2015-03-31,2015-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2015-04-30,2015-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2015-05-31,2015-06-30,MIDASNowcast,conditional_nowcast,0.010133108168814964,0.009260802,145,145,145,145
2015-06-30,2015-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2015-07-31,2015-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2015-08-31,2015-09-30,MIDASNowcast,conditional_nowcast,0.010740129056781456,0.0085191,145,145,145,145
2015-09-30,2015-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2015-10-31,2015-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2015-11-30,2015-12-31,MIDASNowcast,conditional_nowcast,0.0009816465090954907,0.008922156,145,145,145,145
2015-12-31,2016-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2016-01-31,2016-02-29,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2016-02-29,2016-03-31,MIDASNowcast,conditional_nowcast,-0.0013439726468389424,0.0083550755,145,145,145,145
2016-03-31,2016-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2016-04-30,2016-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2016-05-31,2016-06-30,MIDASNowcast,conditional_nowcast,0.010319033393122012,0.008124695,145,145,145,145
2016-06-30,2016-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2016-07-31,2016-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2016-08-31,2016-09-30,MIDASNowcast,conditional_nowcast,0.014213485458586916,0.006933418,145,145,145,145
2016-09-30,2016-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2016-10-31,2016-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2016-11-30,2016-12-31,MIDASNowcast,conditional_nowcast,0.014362918007473802,0.008389028,145,145,145,145
2016-12-31,2017-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2017-01-31,2017-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2017-02-28,2017-03-31,MIDASNowcast,conditional_nowcast,0.01162848573683295,0.0076333378,145,145,145,145
2017-03-31,2017-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2017-04-30,2017-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2017-05-31,2017-06-30,MIDASNowcast,conditional_nowcast,0.008007058450300697,0.006464568,145,145,145,145
2017-06-30,2017-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2017-07-31,2017-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2017-08-31,2017-09-30,MIDASNowcast,conditional_nowcast,0.008485843647259017,0.0074776295,145,145,145,145
2017-09-30,2017-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2017-10-31,2017-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2017-11-30,2017-12-31,MIDASNowcast,conditional_nowcast,0.014697681691412612,0.0065252534,145,145,145,145
2017-12-31,2018-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2018-01-31,2018-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2018-02-28,2018-03-31,MIDASNowcast,conditional_nowcast,0.012764389257233333,0.0068478934,145,145,145,145
2018-03-31,2018-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2018-04-30,2018-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2018-05-31,2018-06-30,MIDASNowcast,conditional_nowcast,0.015724314518789306,0.0076133767,145,145,145,145
2018-06-30,2018-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2018-07-31,2018-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2018-08-31,2018-09-30,MIDASNowcast,conditional_nowcast,0.0014703341171653506,0.007664035,145,145,145,145
2018-09-30,2018-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2018-10-31,2018-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2018-11-30,2018-12-31,MIDASNowcast,conditional_nowcast,0.01845363093213237,0.00766446,145,145,145,145
2018-12-31,2019-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2019-01-31,2019-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2019-02-28,2019-03-31,MIDASNowcast,conditional_nowcast,0.011703685778340578,0.007258729,145,145,145,145
2019-03-31,2019-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2019-04-30,2019-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2019-05-31,2019-06-30,MIDASNowcast,conditional_nowcast,0.015821403525524858,0.0073290956,145,145,145,145
2019-06-30,2019-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2019-07-31,2019-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2019-08-31,2019-09-30,MIDASNowcast,conditional_nowcast,0.0007701035207157148,0.008099992,145,145,145,145
2019-09-30,2019-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2019-10-31,2019-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2019-11-30,2019-12-31,MIDASNowcast,conditional_nowcast,0.014818421340661025,0.007552143,145,145,145,145
2019-12-31,2020-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2020-01-31,2020-02-29,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2020-02-29,2020-03-31,MIDASNowcast,conditional_nowcast,-0.004418434268930405,0.0074705086,145,145,145,145
2020-03-31,2020-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2020-04-30,2020-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2020-05-31,2020-06-30,MIDASNowcast,conditional_nowcast,-0.046167150812611,0.008416773,145,145,145,145
2020-06-30,2020-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2020-07-31,2020-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2020-08-31,2020-09-30,MIDASNowcast,conditional_nowcast,0.04493518191703169,0.0073689995,145,145,145,145
2020-09-30,2020-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2020-10-31,2020-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2020-11-30,2020-12-31,MIDASNowcast,conditional_nowcast,0.0038087810265512445,0.009065112,145,145,145,145
2020-12-31,2021-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2021-01-31,2021-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2021-02-28,2021-03-31,MIDASNowcast,conditional_nowcast,0.022189820007115557,0.0063226726,145,145,145,145
2021-03-31,2021-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2021-04-30,2021-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2021-05-31,2021-06-30,MIDASNowcast,conditional_nowcast,0.012293609367813652,0.008070017,145,145,145,145
2021-06-30,2021-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2021-07-31,2021-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2021-08-31,2021-09-30,MIDASNowcast,conditional_nowcast,0.0184146078653189,0.007861302,145,145,145,145
2021-09-30,2021-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2021-10-31,2021-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2021-11-30,2021-12-31,MIDASNowcast,conditional_nowcast,0.012790664870763635,0.0074347616,145,145,145,145
2021-12-31,2022-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2022-01-31,2022-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2022-02-28,2022-03-31,MIDASNowcast,conditional_nowcast,0.008656536502736678,0.008179558,145,145,145,145
2022-03-31,2022-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2022-04-30,2022-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2022-05-31,2022-06-30,MIDASNowcast,conditional_nowcast,-0.014121862491789372,0.007372046,145,145,145,145
2022-06-30,2022-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2022-07-31,2022-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2022-08-31,2022-09-30,MIDASNowcast,conditional_nowcast,0.010926099020795554,0.007188906,145,145,145,145
2022-09-30,2022-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2022-10-31,2022-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2022-11-30,2022-12-31,MIDASNowcast,conditional_nowcast,-0.004525407949989457,0.006899615,145,145,145,145
2022-12-31,2023-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2023-01-31,2023-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2023-02-28,2023-03-31,MIDASNowcast,conditional_nowcast,-0.0030748230580464053,0.007240878,145,145,145,145
2023-03-31,2023-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2023-04-30,2023-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2023-05-31,2023-06-30,MIDASNowcast,conditional_nowcast,0.015729644218206218,0.007907294,145,145,145,145
2023-06-30,2023-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2023-07-31,2023-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2023-08-31,2023-09-30,MIDASNowcast,conditional_nowcast,0.0030517829891030246,0.007045745,145,145,145,145
2023-09-30,2023-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2023-10-31,2023-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2023-11-30,2023-12-31,MIDASNowcast,conditional_nowcast,-0.0022973130307875067,0.0068959403,145,145,145,145
2023-12-31,2024-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2024-01-31,2024-02-29,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2024-02-29,2024-03-31,MIDASNowcast,conditional_nowcast,0.013785296126026303,0.0069639385,145,145,145,145
2024-03-31,2024-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2024-04-30,2024-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2024-05-31,2024-06-30,MIDASNowcast,conditional_nowcast,0.004532790699530054,0.006984438,145,145,145,145
2024-06-30,2024-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2024-07-31,2024-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2024-08-31,2024-09-30,MIDASNowcast,conditional_nowcast,0.01299927712593174,0.006566624,145,145,145,145
2024-09-30,2024-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2024-10-31,2024-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2024-11-30,2024-12-31,MIDASNowcast,conditional_nowcast,0.007786354919035787,0.007866584,145,145,145,145
2024-12-31,2025-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2025-01-31,2025-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2025-02-28,2025-03-31,MIDASNowcast,conditional_nowcast,0.003804879137121908,0.007077501,145,145,145,145
2025-03-31,2025-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2025-04-30,2025-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2025-05-31,2025-06-30,MIDASNowcast,conditional_nowcast,0.0071161126139216435,0.006679119,145,145,145,145
2025-06-30,2025-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2025-07-31,2025-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2025-08-31,2025-09-30,MIDASNowcast,conditional_nowcast,0.002504745816690246,0.0069529945,145,145,145,145
2025-09-30,2025-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2025-10-31,2025-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2025-11-30,2025-12-31,MIDASNowcast,conditional_nowcast,0.01728416375378128,0.0067834603,145,145,145,145
